date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:49	7165/7165	---M--	200	added ('OK')	application/javascript	etag:%221bfd-58147f1cda2c0%22	http://localhost/Motunau/wp-includes/js/dist/vendor/wp-polyfill-formdata.min.js?ver=3.0.12	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/dist/vendor/wp-polyfill-formdata.mine9bd.js	(from http://localhost/Motunau/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%2FMotunau%2Fwp-admin%2F%26reauth=1)
22:09:50	1119/1119	---M--	200	added ('OK')	application/javascript	etag:%2245f-5a8c4e2d1a600%22	http://localhost/Motunau/wp-admin/js/password-strength-meter.min.js?ver=5.6	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-admin/js/password-strength-meter.min40df.js	(from http://localhost/Motunau/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%2FMotunau%2Fwp-admin%2F%26reauth=1)
22:09:50	9532/9532	---M--	200	added ('OK')	application/javascript	etag:%22253c-5b5662b38fd00%22	http://localhost/Motunau/wp-includes/js/dist/i18n.min.js?ver=326fe7fbfdb407b6edbcfba7e17f3909	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/dist/i18n.min3a83.js	(from http://localhost/Motunau/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%2FMotunau%2Fwp-admin%2F%26reauth=1)
22:09:51	1079/1079	---M--	200	added ('OK')	application/javascript	etag:%22437-595c52fd2e6c0%22	http://localhost/Motunau/wp-includes/js/wp-util.min.js?ver=5.6	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/wp-util.min40df.js	(from http://localhost/Motunau/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%2FMotunau%2Fwp-admin%2F%26reauth=1)
22:09:52	5470/5470	---M--	200	added ('OK')	application/javascript	etag:%22155e-5b2ab6af2c4c0%22	http://localhost/Motunau/wp-admin/js/user-profile.min.js?ver=5.6	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-admin/js/user-profile.min40df.js	(from http://localhost/Motunau/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%2FMotunau%2Fwp-admin%2F%26reauth=1)
22:09:53	16154/16154	---M--	200	added ('OK')	application/javascript	etag:%223f1a-595c52fd2e6c0%22	http://localhost/Motunau/wp-includes/js/underscore.min.js?ver=1.8.3	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/underscore.min4511.js	(from http://localhost/Motunau/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%2FMotunau%2Fwp-admin%2F%26reauth=1)
22:09:55	47085/47085	---M--	200	added ('OK')	application/javascript	etag:%22b7ed-59ff62a7a90c0%22	http://localhost/Motunau/wp-includes/js/dist/vendor/wp-polyfill-url.min.js?ver=3.6.4	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/dist/vendor/wp-polyfill-url.min5aed.js	(from http://localhost/Motunau/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%2FMotunau%2Fwp-admin%2F%26reauth=1)
22:09:56	1372/1372	---M--	200	added ('OK')	image/gif	etag:%2255c-5942a870f08c0%22	http://localhost/Motunau/wp-admin/images/loading.gif	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-admin/images/loading.gif	(from http://localhost/Motunau/wp-admin/css/forms.min.css?ver=5.6)
22:09:57	3113/3113	---M--	200	added ('OK')	image/png	etag:%22c29-5a624e1454500%22	http://localhost/Motunau/wp-admin/images/w-logo-blue.png?ver=20131202	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-admin/images/w-logo-blue7a53.png	(from http://localhost/Motunau/wp-admin/css/login.min.css?ver=5.6)
22:09:57	1521/1521	---M--	200	added ('OK')	image/svg+xml	etag:%225f1-51300c013bcc0%22	http://localhost/Motunau/wp-admin/images/wordpress-logo.svg?ver=20131107	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-admin/images/wordpress-logo7d6b.svg	(from http://localhost/Motunau/wp-admin/css/login.min.css?ver=5.6)
22:09:58	7845/7845	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Dec%202020%2009:09:57%20GMT	http://localhost/Motunau/wp-login.php	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-login.html	(from http://localhost/Motunau/wp-login.php?action=lostpassword)
22:09:59	99310/99310	---M--	200	added ('OK')	application/javascript	etag:%22183ee-5a937aa4cab40%22	http://localhost/Motunau/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=7.4.4	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/js/dist/vendor/wp-polyfill.min89b1.js	(from http://localhost/Motunau/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%2FMotunau%2Fwp-admin%2F%26reauth=1)
22:10:00	56564/56564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dcf4-5aaa63de0f7c0%22	http://localhost/Motunau/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/fonts/dashicons7d4b.eot	(from http://localhost/Motunau/wp-includes/css/dashicons.min.css?ver=5.6)
22:10:00	56392/56392	---M--	200	added ('OK')	font/ttf	etag:%22dc48-5aaa63de0f7c0%22	http://localhost/Motunau/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	C:/Users/User/Documents/Github/tdbnz-coding/Motunau/motunau/localhost/Motunau/wp-includes/fonts/dashicons7d4b.ttf	(from http://localhost/Motunau/wp-includes/css/dashicons.min.css?ver=5.6)
